,0,1,2
161,180.0,81.0,1926.0
162,193.0,92.0,1927.0
163,185.0,77.0,1931.0
164,183.0,77.0,1930.0
165,203.0,102.0,1930.0
166,180.0,81.0,1930.0
167,188.0,86.0,1925.0
168,201.0,94.0,1930.0
169,193.0,86.0,1931.0
170,206.0,97.0,1930.0
171,201.0,97.0,1930.0
172,183.0,83.0,1930.0
173,188.0,83.0,1928.0
174,190.0,81.0,1929.0
175,193.0,86.0,1931.0
176,203.0,92.0,1931.0
177,211.0,99.0,1930.0
178,188.0,86.0,1928.0
179,196.0,81.0,1930.0
180,201.0,95.0,1932.0
181,188.0,84.0,1930.0
182,198.0,97.0,1931.0
183,206.0,106.0,1929.0
184,198.0,90.0,1931.0
185,196.0,95.0,1932.0
186,196.0,88.0,1925.0
187,198.0,81.0,1929.0
188,185.0,81.0,1929.0
189,198.0,95.0,1930.0
190,196.0,86.0,1928.0
191,185.0,84.0,1931.0
192,188.0,86.0,1929.0
193,196.0,86.0,1928.0
194,196.0,77.0,1930.0
195,188.0,80.0,1929.0
196,206.0,104.0,1932.0
197,196.0,81.0,1932.0
198,193.0,92.0,1932.0
199,206.0,92.0,1932.0
200,190.0,86.0,1931.0
201,190.0,81.0,1932.0
202,188.0,77.0,1931.0
203,201.0,83.0,1932.0
204,193.0,77.0,1930.0
205,183.0,72.0,1930.0
206,196.0,99.0,1933.0
207,188.0,86.0,1931.0
208,213.0,99.0,1930.0
209,193.0,86.0,1933.0
210,190.0,90.0,1932.0
211,198.0,92.0,1933.0
212,190.0,86.0,1933.0
213,198.0,99.0,1933.0
214,196.0,99.0,1930.0
215,183.0,76.0,1933.0
216,188.0,92.0,1933.0
217,188.0,81.0,1930.0
218,201.0,97.0,1933.0
219,196.0,86.0,1935.0
220,206.0,89.0,1933.0
221,201.0,105.0,1933.0
222,198.0,95.0,1934.0
223,203.0,99.0,1933.0
224,203.0,95.0,1932.0
225,190.0,83.0,1932.0
226,201.0,103.0,1934.0
227,188.0,83.0,1933.0
228,193.0,88.0,1932.0
